reporting_entity,iso3_country,climate_trace_sector,Gas,unit,carbon_eq,2015,2016,2017,2018,2019,2020,2021,2022,inv_to_ct_ratio_2015,inv_to_ct_ratio_2016,inv_to_ct_ratio_2017,inv_to_ct_ratio_2018,inv_to_ct_ratio_2019,inv_to_ct_ratio_2020,inv_to_ct_ratio_2021,inv_to_ct_ratio_2022
climate-trace,CHN,forest-land-fires,ch4,tonnes,100-year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
climate-trace,CHN,forest-land-fires,co2,tonnes,100-year,17919277.19116211,24515588.76037598,11710903.16772461,11105690.00244141,11839804.64935303,8432621.002197266,9795700.073242188,9534288.40637207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
climate-trace,CHN,forest-land-fires,n2o,tonnes,100-year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
climate-trace,CHN,forest-land-fires,co2e,tonnes,100-year,17919277.19116211,24515588.76037598,11710903.16772461,11105690.00244141,11839804.64935303,8432621.002197266,9795700.073242188,9534288.40637207,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
faostat,CHN,forest-land-fires,ch4,tonnes,100-year,297833.2,311589.60000000003,165300.80000000002,358856.39999999997,350921.2,323912.39999999997,,,,,,,,,,
faostat,CHN,forest-land-fires,n2o,tonnes,100-year,257368.0,269266.5,142835.0,310102.99999999994,303239.50000000006,279893.0,,,,,,,,,,
faostat,CHN,forest-land-fires,co2e,tonnes,100-year,555201.2,580856.1000000001,308135.80000000005,668959.3999999999,654160.7000000001,603805.3999999999,,,0.030983459549017323,0.02369333674493779,0.026311873267744715,0.060235735001871994,0.05525097071899289,0.07160352633453679,,
climate-trace,USA,forest-land-fires,ch4,tonnes,100-year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
climate-trace,USA,forest-land-fires,co2,tonnes,100-year,64761062.62207031,25709585.18981934,40135852.8137207,37782135.00976562,34225559.23461914,106909660.3393555,90415962.21923828,111802101.1352539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
climate-trace,USA,forest-land-fires,n2o,tonnes,100-year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
climate-trace,USA,forest-land-fires,co2e,tonnes,100-year,64761062.62207031,25709585.18981934,40135852.8137207,37782135.00976562,34225559.23461914,106909660.3393555,90415962.21923828,111802101.1352539,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
faostat,USA,forest-land-fires,ch4,tonnes,100-year,1199049.5999999999,771808.7999999999,1429576.4000000001,1318545.2,638892.7999999999,2899635.1999999997,,,,,,,,,,
faostat,USA,forest-land-fires,n2o,tonnes,100-year,1036123.5,666952.0,1235350.5,1139393.9999999998,552074.5,2505654.5,,,,,,,,,,
faostat,USA,forest-land-fires,co2e,tonnes,100-year,2235173.0999999996,1438760.7999999998,2664926.9000000004,2457939.1999999997,1190967.2999999998,5405289.699999999,,,0.034514151088655264,0.05596203864734972,0.06639766476044524,0.0650555930564721,0.03479759941498156,0.05055941327324757,,
climate-trace,RUS,forest-land-fires,ch4,tonnes,100-year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
climate-trace,RUS,forest-land-fires,co2,tonnes,100-year,120537673.9501953,131031463.6230469,107853942.8710938,221899078.3691406,138999633.7890625,158692550.6591797,239018310.546875,155278060.9130859,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
climate-trace,RUS,forest-land-fires,n2o,tonnes,100-year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
climate-trace,RUS,forest-land-fires,co2e,tonnes,100-year,120537673.9501953,131031463.6230469,107853942.8710938,221899078.3691406,138999633.7890625,158692550.6591797,239018310.546875,155278060.9130859,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
faostat,RUS,forest-land-fires,ch4,tonnes,100-year,1622916.4000000001,3856151.5999999996,2179791.6,3849330.8000000003,3151904.0,1789082.4000000001,,,,,,,,,,
faostat,RUS,forest-land-fires,n2o,tonnes,100-year,1402406.4999999998,3332216.0,1883620.0,3326333.0,2723643.5,1546010.0,,,,,,,,,,
faostat,RUS,forest-land-fires,co2e,tonnes,100-year,3025322.9,7188367.6,4063411.6,7175663.800000001,5875547.5,3335092.4000000004,,,0.025098567118940977,0.0548598588555768,0.03767513260833272,0.03233751060499185,0.04227023726491523,0.021016061473248995,,
climate-trace,IND,forest-land-fires,ch4,tonnes,100-year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
climate-trace,IND,forest-land-fires,co2,tonnes,100-year,48312875.29319525,215980299.11518103,128145936.22088438,100523993.27605964,112558863.1220162,43581022.84371852,180152741.08946323,95494059.80110168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
climate-trace,IND,forest-land-fires,n2o,tonnes,100-year,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
climate-trace,IND,forest-land-fires,co2e,tonnes,100-year,48312875.29319525,215980299.11518103,128145936.22088438,100523993.27605964,112558863.1220162,43581022.84371852,180152741.08946323,95494059.80110168,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
faostat,IND,forest-land-fires,ch4,tonnes,100-year,1923868.7999999998,2527495.6,3997288.3999999994,3246944.4,1886452.4000000001,945546.0,,,,,,,,,,
faostat,IND,forest-land-fires,n2o,tonnes,100-year,1662477.5,2184077.0,3454169.0,2805793.5,1630147.5,817074.5,,,,,,,,,,
faostat,IND,forest-land-fires,co2e,tonnes,100-year,3586346.3,4711572.6,7451457.399999999,6052737.9,3516599.9000000004,1762620.5,,,0.07423168830742574,0.021814825793381024,0.058148214603980626,0.06021187283495526,0.0312423189295003,0.040444679472548276,,
