reporting_entity,iso3_country,Gas,2015,2016,2017,2018,2019,2020,2021,2022
climate-trace,CHN,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate-trace,CHN,co2,17919277.19116211,24515588.76037598,11710903.16772461,11105690.00244141,11839804.64935303,8432621.002197266,9795700.073242188,9534288.40637207
climate-trace,CHN,co2e,17919277.19116211,24515588.76037598,11710903.16772461,11105690.00244141,11839804.64935303,8432621.002197266,9795700.073242188,9534288.40637207
climate-trace,CHN,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate-trace,IND,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate-trace,IND,co2,48312875.29319525,215980299.11518103,128145936.22088438,100523993.27605964,112558863.1220162,43581022.84371852,180152741.08946323,95494059.80110168
climate-trace,IND,co2e,48312875.29319525,215980299.11518103,128145936.22088438,100523993.27605964,112558863.1220162,43581022.84371852,180152741.08946323,95494059.80110168
climate-trace,IND,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate-trace,RUS,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate-trace,RUS,co2,120537673.9501953,131031463.6230469,107853942.8710938,221899078.3691406,138999633.7890625,158692550.6591797,239018310.546875,155278060.9130859
climate-trace,RUS,co2e,120537673.9501953,131031463.6230469,107853942.8710938,221899078.3691406,138999633.7890625,158692550.6591797,239018310.546875,155278060.9130859
climate-trace,RUS,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate-trace,USA,ch4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
climate-trace,USA,co2,64761062.62207031,25709585.18981934,40135852.8137207,37782135.00976562,34225559.23461914,106909660.3393555,90415962.21923828,111802101.1352539
climate-trace,USA,co2e,64761062.62207031,25709585.18981934,40135852.8137207,37782135.00976562,34225559.23461914,106909660.3393555,90415962.21923828,111802101.1352539
climate-trace,USA,n2o,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
faostat,CHN,ch4,297833.2,311589.60000000003,165300.80000000002,358856.39999999997,350921.2,323912.39999999997,,
faostat,CHN,co2e,555201.2,580856.1000000001,308135.80000000005,668959.3999999999,654160.7000000001,603805.3999999999,,
faostat,CHN,n2o,257368.0,269266.5,142835.0,310102.99999999994,303239.50000000006,279893.0,,
faostat,IND,ch4,1923868.7999999998,2527495.6,3997288.3999999994,3246944.4,1886452.4000000001,945546.0,,
faostat,IND,co2e,3586346.3,4711572.6,7451457.399999999,6052737.9,3516599.9000000004,1762620.5,,
faostat,IND,n2o,1662477.5,2184077.0,3454169.0,2805793.5,1630147.5,817074.5,,
faostat,RUS,ch4,1622916.4000000001,3856151.5999999996,2179791.6,3849330.8000000003,3151904.0,1789082.4000000001,,
faostat,RUS,co2e,3025322.9,7188367.6,4063411.6,7175663.800000001,5875547.5,3335092.4000000004,,
faostat,RUS,n2o,1402406.4999999998,3332216.0,1883620.0,3326333.0,2723643.5,1546010.0,,
faostat,USA,ch4,1199049.5999999999,771808.7999999999,1429576.4000000001,1318545.2,638892.7999999999,2899635.1999999997,,
faostat,USA,co2e,2235173.0999999996,1438760.7999999998,2664926.9000000004,2457939.1999999997,1190967.2999999998,5405289.699999999,,
faostat,USA,n2o,1036123.5,666952.0,1235350.5,1139393.9999999998,552074.5,2505654.5,,
