reporting_entity,iso3_country,climate_trace_sector,Gas,unit,carbon_eq,data_available,2015,2016,2017,2018,2019,2020,2021,2022,2023,inv_to_ct_ratio_2015,inv_to_ct_ratio_2016,inv_to_ct_ratio_2017,inv_to_ct_ratio_2018,inv_to_ct_ratio_2019,inv_to_ct_ratio_2020,inv_to_ct_ratio_2021,inv_to_ct_ratio_2022,inv_to_ct_ratio_2023
climate-trace,URY,domestic-aviation,ch4,tonnes,100-year,complete,0.1347049972999864,0.0472807144163928,0.001124763562808855,0.020042365768247198,0.0012714471990464139,0.0006426952388965523,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
climate-trace,URY,domestic-aviation,co2,tonnes,100-year,complete,686.3395541244373,240.9014149561573,5.730817250041893,102.11847118296627,6.478189533999788,3.274616180124324,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
climate-trace,URY,domestic-aviation,n2o,tonnes,100-year,complete,5.09954632635684,1.789912760049156,0.042580334877739,0.758746704083697,0.04813335824961423,0.024330605472512336,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
climate-trace,URY,domestic-aviation,co2e,tonnes,100-year,complete,691.5738054480942,242.73860843062286,5.77452234848244,102.89726025281821,6.527594339448449,3.299589480835733,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,
unfccc_non_annex_1,URY,domestic-aviation,ch4,tonnes,100-year,complete,,58.800000000000004,58.800000000000004,,58.800000000000004,,,,,,1243.636030584456,52277.65367252799,,46246.51345655568,,,,
unfccc_non_annex_1,URY,domestic-aviation,co2,tonnes,100-year,complete,,297900.0,301000.0,,301000.0,,,,,,1236.6054390100453,52523.04983164481,,46463.59888364604,,,,
unfccc_non_annex_1,URY,domestic-aviation,n2o,tonnes,100-year,complete,,2199.5,2226.0,,2226.0,,,,,,1228.8308397441647,52277.65367255843,,46246.51345655568,,,,
unfccc_non_annex_1,URY,domestic-aviation,co2e,tonnes,100-year,complete,,300158.3,303284.8,,303284.8,,,,,,1236.549479873072,52521.192524210084,,46461.95584905574,,,,
unfccc_non_annex_1,URY,domestic-aviation,ch4,tonnes,100-year,missing Domestic Aviation,,58.800000000000004,58.800000000000004,,58.800000000000004,,,,,,1243.636030584456,52277.65367252799,,46246.51345655568,,,,
unfccc_non_annex_1,URY,domestic-aviation,co2,tonnes,100-year,missing Domestic Aviation,,297900.0,301000.0,,301000.0,,,,,,1236.6054390100453,52523.04983164481,,46463.59888364604,,,,
unfccc_non_annex_1,URY,domestic-aviation,n2o,tonnes,100-year,missing Domestic Aviation,,2199.5,2226.0,,2226.0,,,,,,1228.8308397441647,52277.65367255843,,46246.51345655568,,,,
unfccc_non_annex_1,URY,domestic-aviation,co2e,tonnes,100-year,missing Domestic Aviation,,300158.3,303284.8,,303284.8,,,,,,1236.549479873072,52521.192524210084,,46461.95584905574,,,,
edgar,URY,domestic-aviation,ch4,tonnes,100-year,complete,3.0497599999999996,1.8389,1.9934599999999998,1.8172,1.8166400000000003,1.7582600000000002,2.2493043999999998,3.0254840000000005,,22.640288490620886,38.89323633744483,1772.3369301026808,90.66793915511516,1428.7970443149202,2735.7601139519384,,,
edgar,URY,domestic-aviation,co2,tonnes,100-year,complete,15443.08028,9325.269894,10111.764949999999,9211.624947,9215.065155,8916.895283,11407.19937,15343.48648,,22.50064153697323,38.70990087666004,1764.4542669592336,90.2052766780603,1422.475385543467,2723.035248259679,,,
edgar,URY,domestic-aviation,n2o,tonnes,100-year,complete,115.45519999999999,69.6155,75.46669999999999,68.794,68.7728,66.5627,85.152185,114.535915,,22.640288490619945,38.893236337444826,1772.3369301037128,90.66793915510881,1428.7970443149204,2735.7601139519384,,,
edgar,URY,domestic-aviation,co2e,tonnes,100-year,complete,15561.58524,9396.724294,10189.22511,9282.236147,9285.654595,8985.216243,11494.600859400001,15461.047879,,22.50169847008176,38.71128847097135,1764.513927749843,90.2087783891775,1422.5232317032426,2723.1315577852397,,,
