reporting_entity,iso3_country,Gas,data_available,2015,2016,2017,2018,2019,2020,2021,2022,2023
climate-trace,URY,ch4,complete,0.1347049972999864,0.0472807144163928,0.001124763562808855,0.020042365768247198,0.0012714471990464139,0.0006426952388965523,0.0,0.0,0.0
climate-trace,URY,co2,complete,686.3395541244373,240.9014149561573,5.730817250041893,102.11847118296627,6.478189533999788,3.274616180124324,0.0,0.0,0.0
climate-trace,URY,co2e,complete,691.5738054480942,242.73860843062286,5.77452234848244,102.89726025281821,6.527594339448449,3.299589480835733,0.0,0.0,0.0
climate-trace,URY,n2o,complete,5.09954632635684,1.789912760049156,0.042580334877739,0.758746704083697,0.04813335824961423,0.024330605472512336,0.0,0.0,0.0
edgar,URY,ch4,complete,3.0497599999999996,1.8389,1.9934599999999998,1.8172,1.8166400000000003,1.7582600000000002,2.2493043999999998,3.0254840000000005,
edgar,URY,co2,complete,15443.08028,9325.269894,10111.764949999999,9211.624947,9215.065155,8916.895283,11407.19937,15343.48648,
edgar,URY,co2e,complete,15561.58524,9396.724294,10189.22511,9282.236147,9285.654595,8985.216243,11494.600859400001,15461.047879,
edgar,URY,n2o,complete,115.45519999999999,69.6155,75.46669999999999,68.794,68.7728,66.5627,85.152185,114.535915,
unfccc_non_annex_1,URY,ch4,complete,,58.800000000000004,58.800000000000004,,58.800000000000004,,,,
unfccc_non_annex_1,URY,ch4,missing Domestic Aviation,,58.800000000000004,58.800000000000004,,58.800000000000004,,,,
unfccc_non_annex_1,URY,co2,complete,,297900.0,301000.0,,301000.0,,,,
unfccc_non_annex_1,URY,co2,missing Domestic Aviation,,297900.0,301000.0,,301000.0,,,,
unfccc_non_annex_1,URY,co2e,complete,,300158.3,303284.8,,303284.8,,,,
unfccc_non_annex_1,URY,co2e,missing Domestic Aviation,,300158.3,303284.8,,303284.8,,,,
unfccc_non_annex_1,URY,n2o,complete,,2199.5,2226.0,,2226.0,,,,
unfccc_non_annex_1,URY,n2o,missing Domestic Aviation,,2199.5,2226.0,,2226.0,,,,
