reporting_entity,data_source_file_name,data_source_website,source_code,last_updated,created_date,modified_date,data_source_id
carbon-monitor,carbon-monitor_global-datas_{YYYYMMDD}.csv,https://carbonmonitor.org/,,2023-09-18,2024-04-10 15:45:21.564806,,5
faostat,faostat_data-{GAS}_{YYYYMMDD}.csv,https://www.fao.org/faostat/en/#data/GT,,2023-06-21,2024-04-10 15:45:21.564825,,6
pik-cr,pik_historical-emissions_{YYYYMMDD}.csv,https://zenodo.org/records/10705513,,2023-09-27,2024-04-10 15:45:21.564831,,7
pik-tp,pik_historical-emissions_{YYYYMMDD}.csv,https://zenodo.org/records/10705513,,2023-09-27,2024-04-10 15:45:21.564835,,8
unfccc_non_annex_1,unfccc-annex-1_{GAS}_{YYYYMMDD}.csv,https://di.unfccc.int/flex_non_annex1,,2023-09-11,2024-04-10 15:45:21.564839,,9
unfccc_annex_1,unfccc-non-annex-1_{GAS}_{YYYYMMDD}.csv,https://di.unfccc.int/flex_annex1,,2023-09-11,2024-04-10 15:45:21.564843,,10
edgar,edgar_V80-{gas}_{YYYYMMDD}.csv,https://edgar.jrc.ec.europa.eu/dataset_ghg80,,2023-11-02,2024-04-10 15:45:21.564848,,11
cait,cait_historical-emissions_{YYYYMMDD}.csv,https://www.climatewatchdata.org/data-explorer/historical-emissions?historical-emissions-data-sources=cait&historical-emissions-end_year=2018&historical-emissions-gases=ch4%2Cco2%2Cn2o%2Cf-gas&historical-emissions-regions=All%20Selected&historical-emissions-sectors=agriculture%2Cbuilding%2Cbunker-fuels%2Celectricity-heat%2Cenergy%2Cfugitive-emissions%2Cindustrial-processes%2Cland-use-change-and-forestry%2Cmanufacturing-construction%2Cother-fuel-combustion%2Cwaste%2Ctransportation&historical-emissions-start_year=1990&page=1,,2023-09-27,2024-04-10 15:45:21.564857,,12
meter,meter_all.csv,https://stanfordmlgroup.github.io/projects/meter-ml/,met,2023-06-19,2024-04-10 15:45:21.564863,,13
spatial-finance-intiative,sfi_{sector}.csv,https://www.cgfi.ac.uk/spatial-finance-initiative/geoasset-project/geoasset-databases/,sfi,2023-06-15,2024-04-10 15:45:21.564868,,14
isreal-prtr,isreal_prtr_translated_all_years_8800.csv,https://www.gov.il/he/departments/publications/reports/full_data,isreal-prtr,2023-09-15,2024-04-10 15:45:21.564873,,15
epa-flight,epa_flight_{sector}_{MMDDYY}.csv,https://ghgdata.epa.gov/ghgp/main.do#/facility/?q=Find%20a%20Facility%20or%20Location&st=&bs=&et=&fid=&sf=11001100&lowE=-20000&highE=23000000&g1=1&g2=1&g3=1&g4=1&g5=1&g6=0&g7=1&g8=1&g9=1&g10=1&g11=1&g12=1&s1=1&s2=1&s3=1&s4=1&s5=1&s6=1&s7=1&s8=1&s9=1&s10=1&s201=1&s202=1&s203=1&s204=1&s301=1&s302=1&s303=1&s304=1&s305=1&s306=1&s307=1&s401=1&s402=1&s403=1&s404=1&s405=1&s601=1&s602=1&s701=1&s702=1&s703=1&s704=1&s705=1&s706=1&s707=1&s708=1&s709=1&s710=1&s711=1&s801=1&s802=1&s803=1&s804=1&s805=1&s806=1&s807=1&s808=1&s809=1&s810=1&s901=1&s902=1&s903=1&s904=1&s905=1&s906=1&s907=1&s908=1&s909=1&s910=1&s911=1&si=&ss=&so=0&ds=E&yr=2022&tr=current&cyr=2022&ol=0&sl=0&rs=ALL,epa-flight,2023-09-15,2024-04-10 15:45:21.564890,,16
can-ghgrp,can-ghgrp_all.csv,https://open.canada.ca/data/en/dataset/a8ba14b7-7f23-462a-bdbb-83b0ef629823,can-ghgrp,2023-09-14,2024-04-10 15:45:21.564895,,17
global-energy-monitor,gem_{sector}.csv,https://globalenergymonitor.org/projects/,gem,2023-06-19,2024-04-10 15:45:21.564899,,18
global-emissions-infrastructure-database,gid_{sector}.csv,http://gidmodel.org.cn/?page_id=1768&lang=en,gid,2023-06-07,2024-04-10 15:45:21.564903,,19
european-pollutant-release-and-transfer-register,eprtr_all-{MMDDYY}.csv,https://www.eea.europa.eu/en/datahub/datahubitem-view/9405f714-8015-4b5b-a63c-280b82861b3d,eprtr,2023-09-14,2024-04-10 15:45:21.564908,,20
global-power-plant-database,gppd_power-plants.csv,https://datasets.wri.org/dataset/globalpowerplantdatabase,gppd,2023-06-18,2024-04-10 15:45:21.564917,,21
